county,cases
Albany,948.00
Allegany,35.00
Bronx,34970.00
Broome,257.00
Cattaraugus,45.00
Cayuga,47.00
Chautauqua,29.00
Chemung,106.00
Chenango,93.00
Clinton,57.00
Columbia,143.00
Cortland,28.00
Delaware,58.00
Dutchess,2729.00
Erie,2954.00
Essex,24.00
Franklin,14.00
Fulton,62.00
Genesee,144.00
Greene,110.00
Hamilton,3.00
Herkimer,57.00
Jefferson,60.00
Brooklyn,42487.00
Lewis,9.00
Livingston,60.00
Madison,123.00
Monroe,1316.00
Montgomery,47.00
Nassau,34522.00
Manhattan,20773.00
Niagara,368.00
Oneida,384.00
Onondaga,692.00
Ontario,84.00
Orange,8106.00
Orleans,80.00
Oswego,61.00
Otsego,60.00
Putnam,904.00
Queens,48745.00
Rensselaer,242.00
Staten Island,11283.00
Rockland,11256.00
Saratoga,330.00
Schenectady,449.00
Schoharie,35.00
Schuyler,7.00
Seneca,38.00
St. Lawrence,167.00
Steuben,207.00
Suffolk,32059.00
Sullivan,724.00
Tioga,71.00
Tompkins,126.00
Ulster,1190.00
Warren,135.00
Washington,127.00
Wayne,65.00
Westchester,27664.00
Wyoming,59.00
Yates,17.00
Midwest,137080.00
Northeast,513641.00
South,188117.00
West,91783.00
Abroad,0.00
