state,state_abv,25April_cases
Alabama ,AL,6026
Alaska,AK,339
Arizona,AZ,6286
Arkansas,AR,2911
California,CA,42368
Colorado,CO,12968
Connecticut,CT,24583
Delaware,DE,3576
District of Columbia,DC,3699
Florida,FL,30839
Georgia,GA,23222
Hawaii,HI,605
Idaho,ID,1887
Illinois,IL,41777
Indiana,IN,14399
Iowa,IA,5092
Kansas,KS,3135
Kentucky,KY,3915
Louisiana,LA,26512
Maine,ME,965
Maryland,MD,17766
Massachusetts,MA,54135
Michigan,MI,37689
Minnesota,MN,3446
Mississippi,MS,5718
Missouri,MO,7108
Montana,MT,445
Nebraska,NE,210
Nevada,NV,4539
New Hampshire,NH,1797
New Jersey,NJ,105498
New Mexico,NM,2660
New York,NY,277538
North Carolina,NC,8768
North Dakota,ND,803
Ohio,OH,15587
Oklahoma,OK,3194
Oregon,OR,2253
Pennsylvania,PA,41153
Puerto Rico,PR,
Rhode Island,RI,7129
South Carolina,SC,5253
South Dakota,SD,2147
Tennessee,TN,9189
Texas,TX,24153
Utah,UT,3623
Vermont,VT,843
Virginia,VA,12366
Washington,WA,13319
West Virginia,WV,1010
Wisconsin,WI,5687
Wyoming,WY,491
