id	mutations
EPI_ISL_424947	2.0000426792
EPI_ISL_425143	1.0299123395999998
EPI_ISL_428769	1.0299123395999998
EPI_ISL_427428	2.0000426792
EPI_ISL_427434	4.0002407916
EPI_ISL_427471	2.0000426792
EPI_ISL_421592	4.0002407916
EPI_ISL_424273	4.000133184
EPI_ISL_427447	3.0299550188
EPI_ISL_427430	3.0299550188
EPI_ISL_426564	4.000133184
EPI_ISL_426568	4.000133184
EPI_ISL_426569	3.0300028444000002
EPI_ISL_424963	2.0000426792
EPI_ISL_423023	4.0451968556
EPI_ISL_429988	4.0002407916
EPI_ISL_427632	4.0002407916
EPI_ISL_428784	1.0299123395999998
EPI_ISL_429645	2.0000426792
EPI_ISL_428758	3.0001118444
EPI_ISL_428798	2.0000426792
EPI_ISL_427634	3.0001118444
EPI_ISL_427473	3.0001118444
EPI_ISL_427478	3.0001118444
EPI_ISL_426624	2.0000426792
EPI_ISL_427477	0.029890999999999997
EPI_ISL_428790	0.029890999999999997
EPI_ISL_427210	5.0002621311999995
EPI_ISL_427234	10.000572087999998
EPI_ISL_429607	11.149791364999999
EPI_ISL_429604	14.041177686000001
EPI_ISL_427239	6.0002236888
EPI_ISL_429655	3.0000640188
EPI_ISL_422983	5.0002621311999995
EPI_ISL_426115	6.0004149911999995
EPI_ISL_429654	3.0299550188
EPI_ISL_429635	3.0299550188
EPI_ISL_429637	3.0000640188
EPI_ISL_429653	2.0299336792
EPI_ISL_426125	3.0000640188
EPI_ISL_429652	2.0299336792
EPI_ISL_418878	5.9553991451999995
EPI_ISL_418879	5.0846145332
EPI_ISL_429631	2.0299336792
EPI_ISL_424274	6.0004149911999995
EPI_ISL_424214	4.0373265553
EPI_ISL_418068	8.1005596403
EPI_ISL_424277	7.649295213299999
EPI_ISL_424235	4.000133184
EPI_ISL_427219	9.0950900032
EPI_ISL_427283	4.000133184
EPI_ISL_424940	2.0299336792
EPI_ISL_428286	4.000133184
EPI_ISL_429648	5.080997722199999
EPI_ISL_429009	3.0299550188
EPI_ISL_426064	5.0001545236
EPI_ISL_424315	7.0745959017999995
EPI_ISL_426063	8.0006489728
EPI_ISL_426062	9.1057192428
EPI_ISL_429037	5.0001545236
EPI_ISL_426073	5.0001545236
EPI_ISL_426074	6.0002834707999995
EPI_ISL_428992	5.0001545236
EPI_ISL_425146	5.0001545236
EPI_ISL_429027	3.0000640188
EPI_ISL_429003	3.0000640188
EPI_ISL_426557	5.0002621311999995
EPI_ISL_426520	5.0002621311999995
EPI_ISL_418902	4.000133184
EPI_ISL_426627	6.0002834707999995
EPI_ISL_424868	5.0001545236
EPI_ISL_421312	6.0004149911999995
EPI_ISL_420815	4.0337246898
EPI_ISL_430050	6.0585529862000005
EPI_ISL_420810	7.0332088232
EPI_ISL_418042	4.000133184
EPI_ISL_426526	4.000133184
EPI_ISL_427287	5.0002621311999995
EPI_ISL_426628	5.0002621311999995
EPI_ISL_427611	5.0002621311999995
EPI_ISL_424930	5.0001545236
EPI_ISL_422546	6.0002834707999995
EPI_ISL_421630	5.0001545236
EPI_ISL_419705	4.000133184
EPI_ISL_421347	3.0515632227
EPI_ISL_426028	4.0002407916
EPI_ISL_424967	1.0299123395999998
EPI_ISL_424964	6.0001758632
EPI_ISL_424956	8.00032615
EPI_ISL_424958	5.029997698
EPI_ISL_421584	6.0001758632
EPI_ISL_426621	5.000106698
EPI_ISL_428800	7.115971024
EPI_ISL_424953	6.0001280376
EPI_ISL_426618	6.0001280376
EPI_ISL_427642	5.000106698
EPI_ISL_428387	7.0464565144
EPI_ISL_427504	4.0299763584
EPI_ISL_424965	4.0299763584
EPI_ISL_421397	7.000304810399999
EPI_ISL_428761	7.0421821014
EPI_ISL_421410	7.000304810399999
EPI_ISL_421580	6.0312296231
EPI_ISL_427488	5.000106698
EPI_ISL_427482	8.0004576704
EPI_ISL_427556	6.0001758632
EPI_ISL_428768	4.0299763584
EPI_ISL_420590	6.0001758632
EPI_ISL_427513	6.0001758632
EPI_ISL_424943	7.0001972028
EPI_ISL_427631	6.0001280376
EPI_ISL_424962	5.000106698
EPI_ISL_424946	5.000106698
EPI_ISL_427503	4.0299763584
EPI_ISL_427511	4.0299763584
EPI_ISL_424951	7.000304810399999
EPI_ISL_427480	5.000106698
EPI_ISL_424936	5.000106698
EPI_ISL_428778	5.000106698
EPI_ISL_424934	6.0001758632
EPI_ISL_424935	5.000106698
EPI_ISL_428792	6.0001758632
EPI_ISL_428393	4.0299763584
EPI_ISL_424949	5.000106698
EPI_ISL_427514	7.000304810399999
EPI_ISL_428746	4.0299763584
EPI_ISL_428395	5.000106698
EPI_ISL_420574	4.0303260831
EPI_ISL_428802	2.0299336792
EPI_ISL_430054	3.0300028444000002
EPI_ISL_430061	3.0300028444000002
EPI_ISL_430053	3.0300028444000002
EPI_ISL_430062	5.0723054194
EPI_ISL_430055	3.0300028444000002
EPI_ISL_429031	1.0299123395999998
EPI_ISL_428788	3.0001118444
EPI_ISL_427627	3.0001118444
EPI_ISL_424961	3.0001118444
EPI_ISL_422532	3.0001118444
EPI_ISL_428805	2.0000426792
EPI_ISL_417976	4.0002407916
EPI_ISL_426457	4.0002407916
EPI_ISL_427490	4.0002407916
EPI_ISL_427509	3.0001118444
EPI_ISL_424955	4.0002407916
EPI_ISL_427641	2.0000426792
EPI_ISL_424353	2.0000426792
EPI_ISL_427639	3.0001118444
EPI_ISL_429843	3.0000640188
EPI_ISL_422464	5.0957339852
EPI_ISL_426114	3.0001118444
EPI_ISL_426097	10.0408472214
EPI_ISL_424294	5.0002023492
EPI_ISL_421288	4.0002407916
EPI_ISL_427492	2.0000426792
EPI_ISL_418964	4.0002407916
EPI_ISL_427635	3.0001118444
EPI_ISL_426123	6.0006062936
EPI_ISL_422508	4.0002407916
EPI_ISL_427551	3.0001118444
EPI_ISL_430010	2.0000426792
EPI_ISL_429632	1.0299123395999998
EPI_ISL_428774	2.0000426792
EPI_ISL_429638	2.0000426792
EPI_ISL_421300	4.000133184
EPI_ISL_427507	3.0000640188
EPI_ISL_428760	2.0000426792
EPI_ISL_427225	3.0001118444
EPI_ISL_427481	3.0001118444
EPI_ISL_428791	3.0001118444
EPI_ISL_428797	2.0299336792
EPI_ISL_426159	4.000133184
EPI_ISL_429643	3.0000640188
EPI_ISL_426070	5.0002621311999995
EPI_ISL_427489	3.0001118444
EPI_ISL_428993	2.0000426792
EPI_ISL_428780	3.0001118444
EPI_ISL_427500	1.0299123395999998
EPI_ISL_427506	3.1357990497999997
EPI_ISL_428794	2.0800280061
EPI_ISL_427245	2.0000426792
EPI_ISL_426471	2.0000426792
EPI_ISL_426086	3.0001118444
EPI_ISL_426619	2.0000426792
EPI_ISL_427232	4.0002407916
EPI_ISL_427164	5.0003936516
EPI_ISL_427554	3.0001118444
EPI_ISL_419516	3.0359242515
EPI_ISL_421593	3.0001118444
EPI_ISL_427184	4.0002407916
EPI_ISL_427470	4.0002407916
EPI_ISL_424945	3.0000640188
EPI_ISL_425150	3.0000640188
EPI_ISL_427493	2.0000426792
EPI_ISL_427540	3.0001118444
EPI_ISL_427165	5.0002023492
EPI_ISL_429642	3.0300028444000002
EPI_ISL_428936	3.0001118444
EPI_ISL_428775	1.0299123395999998
EPI_ISL_426068	4.000133184
EPI_ISL_425144	3.0000640188
EPI_ISL_427628	3.0001118444
EPI_ISL_428384	1.0299123395999998
EPI_ISL_420090	5.0936834626
EPI_ISL_428786	3.0000640188
EPI_ISL_427640	4.000133184
EPI_ISL_421409	4.0002407916
EPI_ISL_427494	2.0000426792
EPI_ISL_424944	3.0001118444
EPI_ISL_427475	1.0000213396
EPI_ISL_424938	1.0000213396
EPI_ISL_426622	1.0000213396
EPI_ISL_424959	1.0000213396
EPI_ISL_428770	1.0000213396
EPI_ISL_427238	1.0000213396
EPI_ISL_427638	1.0000213396
EPI_ISL_426623	1.0000213396
EPI_ISL_427474	1.0000213396
EPI_ISL_424950	1.0000213396
EPI_ISL_428785	1.0000213396
EPI_ISL_426620	1.0000213396
EPI_ISL_422459	1.0000213396
EPI_ISL_427432	1.0000213396
EPI_ISL_424932	1.0000213396
EPI_ISL_429634	1.0000213396
EPI_ISL_429641	3.0000640188
EPI_ISL_427491	2.0299336792
EPI_ISL_428205	3.0658182405999996
EPI_ISL_429647	2.0000426792
EPI_ISL_428793	2.0000426792
EPI_ISL_424948	4.000133184
EPI_ISL_427512	3.0000640188
EPI_ISL_424195	4.000133184
EPI_ISL_429051	2.0299336792
EPI_ISL_429018	4.000133184
EPI_ISL_428783	4.000133184
EPI_ISL_428766	3.0000640188
EPI_ISL_428773	7.0006276332
EPI_ISL_428391	3.0000640188
EPI_ISL_421631	4.000133184
EPI_ISL_424942	5.0002621311999995
EPI_ISL_428787	7.0337887086
EPI_ISL_419704	3.0001118444
EPI_ISL_421386	4.0002407916
EPI_ISL_424937	3.0001118444
EPI_ISL_428396	4.0485147565999995
EPI_ISL_429621	4.0002407916
EPI_ISL_427483	2.0299336792
EPI_ISL_429023	6.0004149911999995
EPI_ISL_429011	4.000133184
EPI_ISL_427497	1.0299123395999998
EPI_ISL_427502	2.0000426792
EPI_ISL_424941	3.0000640188
EPI_ISL_427501	3.0000640188
